alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,contamination_fraction,contamination_multiplier
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,8.037957729162837,6.804375248022405,6.09590782824046,0.05,10.0
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,3.9386933628740137,3.2530701509582816,3.0459537794550164,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,37.40042508567516,20.651241344554006,33.388975178198024,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,33.0926620611997,17.632603691049233,29.40732135990534,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,30.059344938613712,13.315811686547134,27.876003696234964,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,26.29512656168452,15.952429126060878,23.22257771323374,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,22.072210782869526,10.438931294709278,19.901777373138174,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,19.488531257959878,11.584583141748432,17.675303488982664,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,14.568419637222041,7.746976248902794,13.23548819719699,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,11.402721489041094,6.089523711550165,10.466799532158635,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,7.46473274556577,4.153366920149366,6.713563338542708,0.05,10.0
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,3.7563247481394613,1.883098998187685,3.3764788485615833,0.05,10.0
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,23.219840006600304,7.287983271476712,22.160844233821322,0.05,10.0
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,23.219840006600304,7.287983271476712,22.160844233821322,0.05,10.0
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,23.219840006600304,7.287983271476712,22.160844233821322,0.05,10.0
