alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,10,2.6464839872760386,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,1,2.5175287644404034,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,2,2.3666696647351877,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,3,2.4787923048213374,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,4,2.296124561743584,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,5,2.5808736972605395,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,6,2.5641312455469136,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,7,2.562215700627332,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,8,2.5788118674239353,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,9,2.4801853854239786,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,10,2.5951293658969936,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,1,2.246787395744309,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,2,2.5874334892067123,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,3,2.133529256773228,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,4,1.9925086174883733,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,5,2.4710461839887286,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,6,2.6431767434336875,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,7,2.3145641667364956,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,8,2.322338656345796,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,9,2.300368361333183,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,10,2.902354439503841,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,1,2.4258247114099967,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,2,2.4258247114099967,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,3,2.4258247114099967,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,4,2.4258247114099967,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,5,2.4258247114099967,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,6,2.4258247114099967,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,7,2.4258247114099967,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,8,2.4258247114099967,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,9,2.4258247114099967,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,10,2.4258247114099967,True,7200,800,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,1,2.632881192729144,True,7200,800,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,2,2.018381503184738,True,7200,800,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,3,2.6930223657308154,True,7200,800,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,4,2.150879750320948,True,7200,800,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,5,2.4081709324423404,True,7200,800,1
