alpha,n_dim,n_cal,trial,method,noise_type,score_type,redraw_train_test,n_train,n_test,test_coverage,coverage_volume,runtime,n_shapes,grid_size,template_calibration_size
0.1,2,50,73,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8233333333333334,7.917603922434235,0.14261440001428127,2,20,25
0.1,2,50,74,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.925,11.132832339265367,0.10877730010543019,2,20,25
0.1,2,50,75,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8216666666666667,8.459595374603492,0.11266430001705885,2,20,25
0.1,2,50,76,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9633333333333334,19.316055964925738,0.09778479998931289,1,20,25
0.1,2,50,77,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9566666666666667,13.862885577918021,0.10375589993782341,2,20,25
0.1,2,50,78,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9616666666666667,15.865167986502389,0.08546460000798106,2,20,25
0.1,2,50,79,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9283333333333333,9.520695982976616,0.10330180008895695,1,20,25
0.1,2,50,80,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.955,14.44167720458521,0.09759729995857924,1,20,25
0.1,2,50,81,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9083333333333333,9.391648388638643,0.1117689999518916,2,20,25
0.1,2,50,82,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9866666666666667,31.067327819390066,0.1127918999409303,2,20,25
0.1,2,50,83,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.905,9.238276216762362,0.1017680000513792,1,20,25
0.1,2,50,84,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9516666666666667,12.040396185781757,0.10917760001029819,1,20,25
0.1,2,50,85,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9783333333333334,15.785451378863485,0.12499029992613941,2,20,25
0.1,2,50,86,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9033333333333333,12.549391415327532,0.09039929998107255,1,20,25
0.1,2,50,87,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9183333333333333,14.840290323314068,0.10073389997705817,2,20,25
0.1,2,50,88,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.6883333333333334,6.251650543153071,0.10576579999178648,2,20,25
0.1,2,50,89,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8883333333333333,9.304197748789505,0.1264029999729246,2,20,25
0.1,2,50,90,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.905,9.496361185698124,0.10930809995625168,2,20,25
0.1,2,50,91,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.7933333333333333,6.715361525631449,0.11567600001581013,2,20,25
0.1,2,50,92,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.94,9.720452144351515,0.148630200070329,2,20,25
0.1,2,50,93,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9683333333333334,19.21980685961612,0.09885870001744479,2,20,25
