alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,8,inf,True,7200,800
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,9,inf,True,7200,800
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,10,inf,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,1,20.531457163582278,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,2,20.531457163582278,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,3,20.531457163582278,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,4,20.531457163582278,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,5,20.531457163582278,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,6,20.531457163582278,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,7,20.531457163582278,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,8,20.531457163582278,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,9,20.531457163582278,True,7200,800
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,10,20.531457163582278,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,1,20.53145716353839,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,2,11.53609695634157,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,3,12.204079592947735,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,4,8.87432379746518,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,5,14.495647596190125,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,6,8.868806576934329,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,7,9.32647690256874,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,8,4.174726504746751,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,9,2.962711093603069,True,7200,800
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,10,2.509430586641084,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,1,73.09801530915058,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,2,79.54261206995825,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,3,86.20675695939363,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,4,36.97201651339888,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,5,29.379700623806844,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,6,31.785163304464888,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,7,21.492196968545198,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,8,17.63988385692239,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,9,11.620784428030454,True,7200,800
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,10,6.331558976808825,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,1,inf,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,2,inf,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,3,inf,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,4,inf,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,5,inf,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,6,inf,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,7,inf,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,8,inf,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,9,inf,True,7200,800
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,10,inf,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,1,26.601478692967866,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,2,26.601478692967866,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,3,26.601478692967866,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,4,26.601478692967866,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,5,26.601478692967866,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,6,26.601478692967866,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,7,26.601478692967866,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,8,26.601478692967866,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,9,26.601478692967866,True,7200,800
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,10,26.601478692967866,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,1,23.30549649849878,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,2,26.60147869292283,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,3,25.52596210679053,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,4,11.592624882359637,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,5,9.394792070917731,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,6,8.942205767415093,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,7,8.005717671227737,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,8,5.079806904314925,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,9,3.140559459286955,True,7200,800
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,10,1.578630762789393,True,7200,800
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,1,27.070527295988516,True,7200,800
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,2,36.91122831964687,True,7200,800
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,3,27.023068131591508,True,7200,800
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,4,40.71914762245208,True,7200,800
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,5,11.655707204302963,True,7200,800
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,6,12.000593897668361,True,7200,800
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,7,9.27560891091439,True,7200,800
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,8,12.850090835957044,True,7200,800
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,9,2.4648882153619502,True,7200,800
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,10,2.3020751132786725,True,7200,800
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,1,inf,True,7200,800
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,2,inf,True,7200,800
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,3,inf,True,7200,800
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,4,inf,True,7200,800
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,5,inf,True,7200,800
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,6,inf,True,7200,800
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,7,inf,True,7200,800
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,8,inf,True,7200,800
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,9,inf,True,7200,800
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,10,inf,True,7200,800
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,1,25.68432953661416,True,7200,800
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,2,25.68432953661416,True,7200,800
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,3,25.68432953661416,True,7200,800
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,4,25.68432953661416,True,7200,800
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,5,25.68432953661416,True,7200,800
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,6,25.68432953661416,True,7200,800
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,7,25.68432953661416,True,7200,800
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,8,25.68432953661416,True,7200,800
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,9,25.68432953661416,True,7200,800
