alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,1,18.032773533884406,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,2,18.032773533884406,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,3,18.032773533884406,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,4,18.032773533884406,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,5,18.032773533884406,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,6,18.032773533884406,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,7,18.032773533884406,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,8,18.032773533884406,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,9,18.032773533884406,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,10,18.032773533884406,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,1,28.351256172037875,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,2,19.244553544880738,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,3,15.519488710851807,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,4,11.95383826047896,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,5,15.413480626421487,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,6,11.569946541720459,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,7,9.412850610922987,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,8,6.542193033842835,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,9,6.29748855403318,0.0,equicorrelated,True,7200,800
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,10,2.101716146756001,0.0,equicorrelated,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,1,29.772341015775517,0.0,equicorrelated,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,2,31.109731781804992,0.0,equicorrelated,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,3,21.14689361822244,0.0,equicorrelated,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,4,18.713819595756615,0.0,equicorrelated,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,5,16.51688249136945,0.0,equicorrelated,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,6,19.254185504898757,0.0,equicorrelated,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,7,15.212350190831177,0.0,equicorrelated,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,8,10.672786457457835,0.0,equicorrelated,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,9,5.711963815558883,0.0,equicorrelated,True,7200,800
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,10,3.2821828454859623,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,1,23.107677772266943,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,2,38.8823214154891,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,3,20.591556615806294,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,4,24.258968908955538,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,5,13.419489286251624,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,6,13.721829934518864,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,7,12.428755655327524,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,8,8.413993061994354,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,9,4.637727203802074,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Point_CHR,Gaussian,absolute_residual,10,2.622072973694575,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,1,20.591556615821723,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,2,20.591556615821723,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,3,20.591556615821723,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,4,20.591556615821723,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,5,20.591556615821723,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,6,20.591556615821723,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,7,20.591556615821723,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,8,20.591556615821723,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,9,20.591556615821723,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Unscaled,Gaussian,absolute_residual,10,20.591556615821723,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,1,19.625257575096825,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,2,29.33279796459894,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,3,20.591556615806294,0.0,equicorrelated,True,7200,800
0.1,10,30,5,Empirical_copula,Gaussian,absolute_residual,4,18.3009503530418,0.0,equicorrelated,True,7200,800
