dataset,trial,n_cal,n_test,n_dim,method,covered_count,joint_coverage,residual_volume,infinite_region
stock,73,15,64,6,Unscaled,62,0.96875,0.029538969320656683,0
stock,73,15,64,6,Point_CHR,64,1.0,inf,1
stock,73,15,64,6,TSCP_R,63,0.984375,0.00029928881031118066,0
stock,74,15,64,6,Empirical_copula,40,0.625,1.9654009016777656e-05,0
stock,74,15,64,6,Unscaled,63,0.984375,0.1831059581310995,0
stock,74,15,64,6,Point_CHR,64,1.0,inf,1
stock,74,15,64,6,TSCP_R,64,1.0,0.0008709414111130127,0
stock,75,15,64,6,Empirical_copula,51,0.796875,6.068111111063925e-06,0
stock,75,15,64,6,Unscaled,62,0.96875,0.0032045769244879183,0
stock,75,15,64,6,Point_CHR,64,1.0,inf,1
stock,75,15,64,6,TSCP_R,63,0.984375,0.00012740310437843225,0
stock,76,15,64,6,Empirical_copula,52,0.8125,2.3273318517672214e-05,0
stock,76,15,64,6,Unscaled,64,1.0,0.37134393547582684,0
stock,76,15,64,6,Point_CHR,64,1.0,inf,1
stock,76,15,64,6,TSCP_R,64,1.0,0.0015272265353389479,0
stock,77,15,64,6,Empirical_copula,47,0.734375,5.624902707169018e-06,0
stock,77,15,64,6,Unscaled,64,1.0,0.007775336850982912,0
stock,77,15,64,6,Point_CHR,64,1.0,inf,1
stock,77,15,64,6,TSCP_R,54,0.84375,1.7157942018864e-05,0
stock,78,15,64,6,Empirical_copula,44,0.6875,4.890487074429319e-06,0
stock,78,15,64,6,Unscaled,59,0.921875,0.0013344184574127416,0
stock,78,15,64,6,Point_CHR,64,1.0,inf,1
stock,78,15,64,6,TSCP_R,62,0.96875,2.549765847200543e-05,0
stock,79,15,64,6,Empirical_copula,45,0.703125,6.930462788237512e-06,0
stock,79,15,64,6,Unscaled,52,0.8125,0.0006398327446269569,0
stock,79,15,64,6,Point_CHR,64,1.0,inf,1
stock,79,15,64,6,TSCP_R,64,1.0,0.00013261124573404453,0
stock,80,15,64,6,Empirical_copula,34,0.53125,2.3429770127881683e-06,0
stock,80,15,64,6,Unscaled,62,0.96875,0.002222403728447622,0
stock,80,15,64,6,Point_CHR,64,1.0,inf,1
stock,80,15,64,6,TSCP_R,62,0.96875,1.7854875529446843e-05,0
