alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,2,30,38,Unscaled,Gaussian,absolute_residual,2,3.8643371239769024,True,2400,600
0.1,2,30,39,TSCP_R,Gaussian,absolute_residual,1,4.008756069648533,True,2400,600
0.1,2,30,39,TSCP_R,Gaussian,absolute_residual,2,2.2806370260886,True,2400,600
0.1,2,30,39,Point_CHR,Gaussian,absolute_residual,1,3.0409023223232183,True,2400,600
0.1,2,30,39,Point_CHR,Gaussian,absolute_residual,2,1.847559463686673,True,2400,600
0.1,2,30,39,Unscaled,Gaussian,absolute_residual,1,3.040902322332636,True,2400,600
0.1,2,30,39,Unscaled,Gaussian,absolute_residual,2,3.040902322332636,True,2400,600
0.1,2,30,40,TSCP_R,Gaussian,absolute_residual,1,5.85039441728504,True,2400,600
0.1,2,30,40,TSCP_R,Gaussian,absolute_residual,2,2.1354599404288597,True,2400,600
0.1,2,30,40,Point_CHR,Gaussian,absolute_residual,1,5.692085926109478,True,2400,600
0.1,2,30,40,Point_CHR,Gaussian,absolute_residual,2,2.103716824114445,True,2400,600
0.1,2,30,40,Unscaled,Gaussian,absolute_residual,1,3.7568348880335996,True,2400,600
0.1,2,30,40,Unscaled,Gaussian,absolute_residual,2,3.7568348880335996,True,2400,600
0.1,2,30,41,TSCP_R,Gaussian,absolute_residual,1,4.796737227007958,True,2400,600
0.1,2,30,41,TSCP_R,Gaussian,absolute_residual,2,1.6917490031696554,True,2400,600
0.1,2,30,41,Point_CHR,Gaussian,absolute_residual,1,7.186150379302518,True,2400,600
0.1,2,30,41,Point_CHR,Gaussian,absolute_residual,2,2.3954713279517623,True,2400,600
0.1,2,30,41,Unscaled,Gaussian,absolute_residual,1,4.177125353480469,True,2400,600
0.1,2,30,41,Unscaled,Gaussian,absolute_residual,2,4.177125353480469,True,2400,600
0.1,2,30,42,TSCP_R,Gaussian,absolute_residual,1,3.6382676361712796,True,2400,600
0.1,2,30,42,TSCP_R,Gaussian,absolute_residual,2,1.6854424768511063,True,2400,600
0.1,2,30,42,Point_CHR,Gaussian,absolute_residual,1,3.5393792735152214,True,2400,600
0.1,2,30,42,Point_CHR,Gaussian,absolute_residual,2,2.3894565248779616,True,2400,600
0.1,2,30,42,Unscaled,Gaussian,absolute_residual,1,2.829199406969891,True,2400,600
0.1,2,30,42,Unscaled,Gaussian,absolute_residual,2,2.829199406969891,True,2400,600
0.1,2,30,43,TSCP_R,Gaussian,absolute_residual,1,4.367014330002214,True,2400,600
0.1,2,30,43,TSCP_R,Gaussian,absolute_residual,2,1.686899508252281,True,2400,600
0.1,2,30,43,Point_CHR,Gaussian,absolute_residual,1,5.605277999707742,True,2400,600
0.1,2,30,43,Point_CHR,Gaussian,absolute_residual,2,4.271880698502782,True,2400,600
0.1,2,30,43,Unscaled,Gaussian,absolute_residual,1,3.4317439857183922,True,2400,600
0.1,2,30,43,Unscaled,Gaussian,absolute_residual,2,3.4317439857183922,True,2400,600
0.1,2,30,44,TSCP_R,Gaussian,absolute_residual,1,5.100998899292503,True,2400,600
0.1,2,30,44,TSCP_R,Gaussian,absolute_residual,2,2.163849596380543,True,2400,600
0.1,2,30,44,Point_CHR,Gaussian,absolute_residual,1,5.862010879662424,True,2400,600
0.1,2,30,44,Point_CHR,Gaussian,absolute_residual,2,2.1255803152213346,True,2400,600
0.1,2,30,44,Unscaled,Gaussian,absolute_residual,1,3.7472451641110194,True,2400,600
0.1,2,30,44,Unscaled,Gaussian,absolute_residual,2,3.7472451641110194,True,2400,600
0.1,2,30,45,TSCP_R,Gaussian,absolute_residual,1,3.6432966932081774,True,2400,600
0.1,2,30,45,TSCP_R,Gaussian,absolute_residual,2,2.363965757753685,True,2400,600
0.1,2,30,45,Point_CHR,Gaussian,absolute_residual,1,3.2492477936597486,True,2400,600
0.1,2,30,45,Point_CHR,Gaussian,absolute_residual,2,2.204244615131321,True,2400,600
0.1,2,30,45,Unscaled,Gaussian,absolute_residual,1,3.4476365234694795,True,2400,600
0.1,2,30,45,Unscaled,Gaussian,absolute_residual,2,3.4476365234694795,True,2400,600
0.1,2,30,46,TSCP_R,Gaussian,absolute_residual,1,3.338521086662424,True,2400,600
0.1,2,30,46,TSCP_R,Gaussian,absolute_residual,2,1.4884451646125236,True,2400,600
0.1,2,30,46,Point_CHR,Gaussian,absolute_residual,1,3.6699054869542236,True,2400,600
0.1,2,30,46,Point_CHR,Gaussian,absolute_residual,2,1.5950147536837607,True,2400,600
0.1,2,30,46,Unscaled,Gaussian,absolute_residual,1,3.102670090960125,True,2400,600
0.1,2,30,46,Unscaled,Gaussian,absolute_residual,2,3.102670090960125,True,2400,600
0.1,2,30,47,TSCP_R,Gaussian,absolute_residual,1,4.849659799540733,True,2400,600
0.1,2,30,47,TSCP_R,Gaussian,absolute_residual,2,1.9369564482405028,True,2400,600
0.1,2,30,47,Point_CHR,Gaussian,absolute_residual,1,6.444524810203921,True,2400,600
0.1,2,30,47,Point_CHR,Gaussian,absolute_residual,2,2.5097720784617366,True,2400,600
0.1,2,30,47,Unscaled,Gaussian,absolute_residual,1,4.274114620663797,True,2400,600
0.1,2,30,47,Unscaled,Gaussian,absolute_residual,2,4.274114620663797,True,2400,600
0.1,2,30,48,TSCP_R,Gaussian,absolute_residual,1,5.017288747997345,True,2400,600
