alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,noise_ratio
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,20.61240814486712,1.7735437254143582,20.465484215027942,10
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,15.937720864324033,1.4208333367782118,15.801448571916703,10
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,12.209709705845032,1.0153174123319253,12.122070504849683,10
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,9.5826711943837,0.7599052405718218,9.550436868080181,10
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,7.419881490125359,0.5689910123275418,7.402979939981576,10
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,5.67836317256736,0.5039962867818824,5.639184997657111,10
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,4.411005133691395,0.32453465696370926,4.417665744058886,10
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,3.3905862470708854,0.258754987867923,3.3741432282610653,10
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,2.6398112347414484,0.2231436301472701,2.616446085771063,10
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,17.930734144766326,1.1859677632904417,17.900787824417428,10
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,17.930734144766326,1.1859677632904417,17.900787824417428,10
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,17.930734144766326,1.1859677632904417,17.900787824417428,10
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,17.930734144766326,1.1859677632904417,17.900787824417428,10
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,17.930734144766326,1.1859677632904417,17.900787824417428,10
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,17.930734144766326,1.1859677632904417,17.900787824417428,10
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,17.930734144766326,1.1859677632904417,17.900787824417428,10
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,17.930734144766326,1.1859677632904417,17.900787824417428,10
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,17.930734144766326,1.1859677632904417,17.900787824417428,10
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,17.930734144766326,1.1859677632904417,17.900787824417428,10
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,48.25402980488407,5.507127681874735,48.08335480886353,20
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,34.889819318940276,4.084563057980055,34.710842984580765,20
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,24.97975683795643,3.0823973142085057,24.7631769347838,20
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,17.807355565175623,2.109280130605885,17.68328416945934,20
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,12.845148474683509,1.3772494593407336,12.726062596596636,20
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,9.273841913252518,1.0276258843615864,9.178127399896093,20
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,6.542159823159076,0.7642792112871546,6.4493766114020765,20
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,4.701909202485121,0.5169007957858942,4.682553532232208,20
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,3.3444549561470684,0.3829114062696459,3.330041738056674,20
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.4092573894262497,0.2844193434531829,2.399163855793507,20
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,54.90976531065856,7.598106956319876,54.17784354241056,20
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,39.07588494250144,5.628993474688955,38.36589771841651,20
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,28.597576233125945,3.8285575786399795,28.38088683933138,20
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,19.981074167534633,2.5413223724129033,19.908372389343732,20
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,14.49507235154206,2.0707848873449732,14.25860268463393,20
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,10.384589702713916,1.3344365355348895,10.248050986966588,20
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,7.357788019119506,1.0212824593686578,7.281459772709565,20
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,5.2235822216238095,0.6634367834662048,5.134384904827186,20
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,3.7799949433327344,0.5047730853400589,3.728425958053578,20
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,2.732799584500468,0.3819571305945899,2.7054970341342464,20
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,52.80753247865135,4.653473146954319,52.46677476070848,20
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,38.169014921354105,3.2841585729938934,37.89694861881816,20
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,27.325030622667295,2.43600165718035,27.09139341727575,20
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,19.381706031284736,1.6117159284173277,19.242587471431065,20
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,14.083982382521526,1.1168589429293918,14.03660648131798,20
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,10.09690053424154,0.7742772797644132,10.07390107381844,20
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,7.154289290065447,0.6349955307853458,7.1049278827995686,20
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,5.14556558217034,0.37857910169704156,5.1533353775853215,20
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,3.662035696703224,0.2794708446337112,3.6442762541008915,20
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,2.6398112347414475,0.22314363014726996,2.6164460857710647,20
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,34.964959995325856,2.526630289994141,34.9007520733571,20
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,34.964959995325856,2.526630289994141,34.9007520733571,20
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,34.964959995325856,2.526630289994141,34.9007520733571,20
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,34.964959995325856,2.526630289994141,34.9007520733571,20
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,34.964959995325856,2.526630289994141,34.9007520733571,20
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,34.964959995325856,2.526630289994141,34.9007520733571,20
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,34.964959995325856,2.526630289994141,34.9007520733571,20
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,34.964959995325856,2.526630289994141,34.9007520733571,20
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,34.964959995325856,2.526630289994141,34.9007520733571,20
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,34.964959995325856,2.526630289994141,34.9007520733571,20
