dataset,method,coordinate,target,n_trials,full_length_mean,full_length_sd,paired_length_ratio_mean,paired_length_ratio_sd,infinite_fraction,marginal_coverage_mean,marginal_coverage_sd,marginal_mc95_lower,marginal_mc95_upper
scm1d,Point_CHR,1,LBL,200,414.01509419821576,43.32444229254725,0.7258835245076628,0.07687986118199651,0.0,0.9826134625191227,0.0052338901726117475,0.981888082349447,0.9833388426887985
scm1d,Point_CHR,2,MTLp2,200,465.0964824335868,58.81838810596685,0.8147215279096787,0.09728986214787058,0.0,0.9842019377868434,0.00597124882550023,0.9833743649216574,0.9850295106520294
scm1d,Point_CHR,3,MTLp3,200,464.7491090585774,46.15888902537311,0.8140719065951296,0.07330037767243892,0.0,0.9853748087710352,0.004371113962531014,0.9847690032834833,0.9859806142585872
scm1d,Point_CHR,4,MTLp4,200,561.1505934338327,61.116529944331084,0.9832576921422589,0.10271843846318304,0.0,0.9864839367669557,0.004777683734120313,0.9858217835838705,0.9871460899500408
scm1d,Point_CHR,5,MTLp5,200,595.8058608317579,60.32242185010376,1.044136565195353,0.10186506926993827,0.0,0.9819836817950025,0.005737584415734375,0.9811884931647953,0.9827788704252097
scm1d,Point_CHR,6,MTLp6,200,681.4269145578955,80.30593156029693,1.1933402421993935,0.1292125049916326,0.0,0.9840260071392147,0.006032641164649115,0.983189925729921,0.9848620885485084
scm1d,Point_CHR,7,MTLp7,200,695.5287380647807,83.04923571712615,1.217891516117979,0.13075736732212534,0.0,0.9857445181030087,0.006014279106833761,0.984910981545092,0.9865780546609253
scm1d,Point_CHR,8,MTLp8,200,746.9741900744384,84.39802267545197,1.3085710423022336,0.13990331491816943,0.0,0.9862417134115248,0.00534686086470426,0.9855006763027281,0.9869827505203215
scm1d,Point_CHR,9,MTLp9,200,457.8000006926431,46.79949688192497,0.8026869416274129,0.08284561016106474,0.0,0.9847093319734829,0.005387645804430133,0.9839626423604259,0.9854560215865399
scm1d,Point_CHR,10,MTLp10,200,515.9090282808086,57.1986029390202,0.9040290844090845,0.09610788335569097,0.0,0.9846506884242733,0.005245462711429182,0.9839237043825456,0.9853776724660009
scm1d,Point_CHR,11,MTLp11,200,488.2040905234699,54.04161215770446,0.8557829502460679,0.09388649200641878,0.0,0.986320754716981,0.005185187564744496,0.985602124384385,0.987039385049577
scm1d,Point_CHR,12,MTLp12,200,547.0309031703628,64.06628269934245,0.9585903757789308,0.10797882184820827,0.0,0.9854105048444671,0.0056387264172122606,0.9846290172338413,0.9861919924550929
